"results__name","results__domain","results__fullDomain","results__logo","results__links__pricing","results__links__privacyPolicy","results__links__tos","results__links__security","results__links__gdpr","pagination__pageCount","pagination__rangeStart","pagination__rangeEnd","pagination__page","pagination__totalItems","pagination__itemsPerPage","total"
"Addthis","addthis.com","https://addthis.com","https://logo.clearbit.com/addthis.com?size=36","https://www.addthis.com/plans","http://www.addthis.com/privacy","https://www.addthis.com/privacy/terms-of-service/","https://www.addthis.com/blog/tag/site-security/","http://www.trustarc.com/blog/2016/03/08/march-spotlight-gdpr-accountability-reviewing-truste-iapp-research-findings/#at_pco=tst-1.0&at_si=58587480468d8411&at_ab=per-2&at_pos=0&at_tot=2","","","","","","",""
"Dreamhost","dreamhost.com","https://dreamhost.com","https://logo.clearbit.com/dreamhost.com?size=36","https://www.dreamhost.com/domains/pricing/","https://www.dreamhost.com/legal/privacy-policy/","https://www.dreamhost.com/legal/terms-of-service/","https://www.dreamhost.com/security/","https://discussion.dreamhost.com/t/will-dreamhost-be-gdpr-compliant/66710","","","","","","",""
"Smartfile","smartfile.com","https://smartfile.com","https://logo.clearbit.com/smartfile.com?size=36","https://www.smartfile.com/pricing/","https://www.smartfile.com/policy/","https://www.smartfile.com/terms/","https://www.smartfile.com/blog/what-is-secure-file-management/","","","","","","","",""
"Mitten","strikingly.com","https://strikingly.com","https://logo.clearbit.com/strikingly.com?size=36","https://www.strikingly.com/s/pricing","https://support.strikingly.com/hc/en-us/articles/214364818","https://support.strikingly.com/hc/en-us/articles/214364828","","http://gdpr-compliance.strikingly.com","","","","","","",""
"Quote Roller","quoteroller.com","https://quoteroller.com","https://logo.clearbit.com/quoteroller.com?size=36","https://www.quoteroller.com/pricing/","https://www.quoteroller.com/privacy-policy/","https://www.quoteroller.com/terms-of-service/","","","","","","","","",""
"My1Login","my1login.com","https://my1login.com","https://logo.clearbit.com/my1login.com?size=36","https://www.my1login.com/solutions/pricing/","https://www.my1login.com/terms/privacy-policy/","https://www.my1login.com/terms/terms-of-use/","https://blog.my1login.com/meet-us-public-sector-cyber-security-2018","https://content.my1login.com/gdpr-six-specific-compliance-points-addressed-with-my1logins-iam","","","","","","",""
"Hireathena","hireathena.com","https://hireathena.com","https://logo.clearbit.com/hireathena.com?size=36","","http://www.hireathena.com/privacy-policy/","http://www.hireathena.com/terms-and-conditions/","","","","","","","","",""
"Proposify","proposify.biz","https://proposify.biz","https://logo.clearbit.com/proposify.biz?size=36","https://www.proposify.com/pricing","https://www.proposify.com/company/privacy","https://www.proposify.com/company/terms-of-use","https://www.proposify.com/proposal-templates/security-proposal-template","","","","","","","",""
"Fundly","fundly.com","https://fundly.com","https://logo.clearbit.com/fundly.com?size=36","https://fundly.com/pricing","https://fundly.com/privacy-policy","https://fundly.com/terms-of-use","https://support.fundly.com/hc/en-us/articles/115006097508-Security-","https://fundly.com/gdpr-nashville-2015","","","","","","",""
"Exact Data","exactdata.com","https://exactdata.com","https://logo.clearbit.com/exactdata.com?size=36","https://www.exactdata.com/jewelry-mailing-lists.html","https://www.exactdata.com/privacy-policy.html","https://www.exactdata.com/terms-of-use.html","https://www.exactdata.com/security-information.html","","","","","","","",""
"Chargify","chargify.com","https://chargify.com","https://logo.clearbit.com/chargify.com?size=36","https://www.chargify.com/contact-us/","https://www.chargify.com/privacy-policy/","https://www.chargify.com/free-use-terms/","https://www.chargify.com/security/","https://help.chargify.com/my-account/gdpr.html","","","","","","",""
"SpringCM","springcm.com","https://springcm.com","https://logo.clearbit.com/springcm.com?size=36","https://www.springcm.com/products/pricing","https://www.springcm.com/privacy-policy","https://www.springcm.com/master-subscription-services-agreement","https://www.springcm.com/products/security","https://www.springcm.com/products/security/gdpr-overview","","","","","","",""
"First Data","firstdata.com","https://firstdata.com","https://logo.clearbit.com/firstdata.com?size=36","","https://www.firstdata.com/en_gb/privacy.html","https://www.firstdata.com/en_gb/privacy/terms-of-use.html","","","","","","","","",""
"InReach","getinreach.co","https://getinreach.co","https://logo.clearbit.com/getinreach.co?size=36","","http://www.getinreach.co/privacy-policy/","http://www.getinreach.co/terms-conditions/","","","","","","","","",""
"Bill4Time","bill4time.com","https://bill4time.com","https://logo.clearbit.com/bill4time.com?size=36","https://www.bill4time.com/law-firm-software-pricing","https://www.bill4time.com/privacy-policy","https://www.bill4time.com/terms-of-service","https://www.bill4time.com/security-statement","","45","626","650","26","1124","25","1124"
